t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
53459011,9.648633,0.93373865,-1.4748282,-0.031926755,-0.017027603,0.04789013,7.8,52.5,24.3,28.044659,25.577257,92726.58,741.8106,-2.873042,-1.9153614,12.449849
53492014,9.720459,0.8475474,-1.3982137,-0.022348728,-0.022348728,0.061725058,7.95,52.65,23.1,27.852966,25.577072,92726.57,741.8117,-2.873042,9.576807,11.492168
53525007,9.662998,0.81881696,-1.2545617,-0.030862529,-0.020220278,0.07343154,7.95,52.2,23.4,27.709198,25.577366,92726.516,741.8166,-3.8307228,6.703765,13.40753
53558010,9.524135,0.7422025,-1.2785037,-0.019156054,-0.028734079,0.08620224,6.45,53.1,23.4,27.948812,25.578026,92726.57,741.8117,-1.9153614,6.703765,1.9153614
53591011,9.595961,0.7517793,-1.283292,-0.014899152,-0.038312107,0.090459146,8.4,53.4,22.65,27.948812,25.578375,92726.15,741.84955,-0.9576807,2.873042,7.6614456
53624014,9.634268,0.6895301,-1.4748282,-0.011706477,-0.026605628,0.100037165,7.2,51.45,23.7,27.613352,25.578484,92726.37,741.8301,-4.7884035,5.746084,4.7884035
53657007,9.696517,0.62249243,-1.5275006,-0.008513802,-0.03299098,0.09471604,6.9,53.1,22.65,27.517508,25.578136,92726.734,741.7971,-1.9153614,4.7884035,4.7884035
53690010,9.835381,0.35913026,-1.6328455,-0.013834927,-0.027669854,0.08726646,7.65,53.4,22.65,27.75712,25.577585,92726.95,741.7777,-4.7884035,4.7884035,2.873042
53723011,9.773131,0.14844051,-1.5945383,-0.018091828,-0.011706477,0.06917463,7.95,52.65,23.1,27.56543,25.577898,92726.83,741.7885,-4.7884035,9.576807,11.492168
53756011,9.782708,0.2633622,-1.5897499,-0.018091828,-0.006385351,0.054275483,6.75,53.55,22.05,27.75712,25.578283,92726.92,741.7804,0,4.7884035,4.7884035
53789011,9.65821,0.29209262,-1.5514427,-0.023412954,0.0021284504,0.030862529,7.8,51.75,25.35,27.709198,25.577824,92726.39,741.82794,-3.8307228,6.703765,6.703765
53822014,9.730036,0.25378537,-1.5658079,-0.021284504,0.007449576,0.011706477,7.8,52.8,22.5,27.56543,25.57764,92726.89,741.7831,-3.8307228,7.6614456,5.746084
53867968,9.634268,0.320823,-0.93373865,-0.010642252,-0.046825908,-0.0031926755,7.95,51.9,24.15,27.852966,25.577953,92726.51,741.81714,-4.7884035,1.9153614,5.746084
53900105,9.65821,0.5554548,-1.2449849,-0.015963377,-0.085138015,-0.0031926755,7.2,51.45,23.7,27.56543,25.574507,92725.84,741.8765,1.9153614,1.9153614,-7.6614456
53933007,9.586384,0.6799533,-1.757344,-0.044697456,-0.07875266,0.008513802,7.05,54,24,27.852966,25.57295,92726,741.8625,-2.873042,11.492168,0
53966011,9.485827,0.7038953,-1.7381904,-0.09258759,-0.060660835,0.019156054,7.95,51.9,22.35,28.044659,25.57207,92726.48,741.8198,-4.7884035,7.6614456,2.873042
53999014,9.543288,0.7230489,-1.8435353,-0.08407379,-0.048954356,0.03299098,6.3,51.3,24,27.613352,25.572308,92726.164,741.8479,-7.6614456,5.746084,-5.746084
54032014,9.667787,0.5746084,-2.030283,-0.079816885,-0.021284504,0.030862529,7.65,53.1,23.4,27.852966,25.571594,92726.59,741.8096,-6.703765,0.9576807,5.746084
54065014,9.825804,0.38307226,-1.958457,-0.010642252,0.011706477,0.023412954,7.05,52.05,24.6,27.948812,25.572382,92726.336,741.83276,-0.9576807,4.7884035,7.6614456
54098007,9.734824,0.41180268,-1.9393034,-0.015963377,0.03724788,0.029798305,7.05,50.55,23.55,27.613352,25.572968,92725.86,741.87494,-0.9576807,6.703765,5.746084
54131011,9.586384,0.5315128,-1.7477672,-0.012770702,0.06385351,0.025541404,7.2,50.7,24.15,27.852966,25.573994,92725.77,741.88306,-1.9153614,0.9576807,2.873042
54164011,9.624691,0.50278234,-1.6950948,-0.015963377,0.06917463,0.029798305,7.8,51.3,23.25,27.852966,25.57403,92726.27,741.8382,-4.7884035,3.8307228,0
54197011,9.682152,0.40222588,-1.4652514,-0.010642252,0.05959661,0.024477178,7.05,52.8,23.55,27.948812,25.5748,92726.23,741.8425,1.9153614,9.576807,3.8307228
54230011,9.629479,0.35434186,-1.3503298,-0.012770702,0.045761682,0.018091828,7.05,53.25,23.55,27.948812,25.575516,92726.95,741.7777,-3.8307228,1.9153614,10.534488
54263011,9.519346,0.33518824,-1.2210429,-0.011706477,0.022348728,0.017027603,8.1,52.05,23.25,27.709198,25.57634,92727.85,741.6972,-2.873042,4.7884035,6.703765
54296011,9.595961,0.39743748,-1.2689269,-0.011706477,0,0.012770702,7.8,52.8,22.8,27.75712,25.576376,92727.81,741.70044,-6.703765,4.7884035,0
54329014,9.677363,0.4309563,-1.3263878,-0.009578027,-0.024477178,0.005321126,7.05,50.55,22.8,27.613352,25.576414,92727.79,741.7026,-6.703765,3.8307228,8.619126
54362007,9.706094,0.47884035,-1.6232687,-0.007449576,-0.040440556,-0.0021284504,8.55,51,23.25,27.90089,25.576431,92726.46,741.8215,-1.9153614,1.9153614,8.619126
54395011,9.677363,0.33997664,-1.6519991,-0.006385351,-0.03937633,-0.005321126,6.9,52.65,23.7,27.948812,25.576303,92726.164,741.8479,-3.8307228,7.6614456,0
54428011,9.624691,0.49320555,-1.9632454,-0.008513802,-0.023412954,-0.010642252,7.05,52.05,23.55,27.948812,25.57678,92726.06,741.8571,-3.8307228,9.576807,3.8307228
54461014,9.648633,0.31124622,-1.9249382,-0.007449576,-0.0010642252,-0.018091828,8.4,51.15,23.4,27.613352,25.576706,92726.18,741.84686,-4.7884035,3.8307228,10.534488
54494007,9.725247,0.45968673,-1.8818425,-0.010642252,0.017027603,-0.012770702,7.35,52.5,24.6,27.709198,25.576359,92725.766,741.8841,-5.746084,-0.9576807,8.619126
54527011,9.720459,0.50757074,-1.8770541,-0.009578027,0.031926755,-0.005321126,6.9,51.45,23.1,27.75712,25.576689,92726.03,741.8598,-7.6614456,8.619126,7.6614456
54560014,9.600749,0.61770403,-1.6424223,-0.007449576,0.03724788,-0.0010642252,7.05,53.25,23.55,27.852966,25.576797,92726.77,741.79333,-2.873042,4.7884035,5.746084
54593007,9.648633,0.6607997,-1.5705963,-0.005321126,0.03724788,0.027669854,7.2,48,30.9,27.75712,25.577457,92726.734,741.7971,0.9576807,11.492168,2.873042
54626011,9.595961,0.5793968,-1.5705963,-0.008513802,0.03511943,0.04363323,2.7,47.55,29.7,27.709198,25.578245,92727.055,741.76794,-6.703765,12.449849,7.6614456
54659011,9.586384,0.3878607,-1.532289,-0.005321126,0.027669854,0.042569008,7.05,46.35,28.95,27.948812,25.5781,92726.414,741.8252,0,4.7884035,10.534488
54692014,9.701305,0.2777274,-1.6184803,-0.006385351,0.034055207,0.023412954,9.6,47.55,31.5,27.709198,25.578428,92726.6,741.809,-2.873042,-0.9576807,4.7884035
54725007,9.68694,0.4213795,-1.5705963,-0.0010642252,0.029798305,0.015963377,7.05,52.5,25.35,27.613352,25.57898,92727.39,741.7382,2.873042,2.873042,-5.746084
54758011,9.682152,0.49799395,-1.4796166,0,0.025541404,0.009578027,5.55,48.6,29.7,27.90089,25.579235,92726.65,741.8047,1.9153614,0,3.8307228
54791011,9.749189,0.44532153,-1.532289,-0.009578027,0.010642252,0.013834927,7.05,54,24.6,27.852966,25.579565,92726.695,741.80035,-2.873042,2.873042,2.873042
54824011,9.715671,0.090979666,-1.6950948,-0.006385351,0.007449576,0.0010642252,6.75,51.3,24.6,27.56543,25.578941,92726.984,741.7744,-3.8307228,4.7884035,-2.873042
54869966,9.730036,0.01436521,-1.5514427,-0.014899152,0.021284504,-0.05108281,7.65,51.9,24.15,27.56543,25.578777,92726.53,741.81494,-3.8307228,5.746084,3.8307228
54902106,9.739613,0.22984336,-1.6472107,-0.009578027,0.023412954,-0.06704619,7.05,52.5,23.25,27.709198,25.575277,92726.19,741.84576,-3.8307228,7.6614456,8.619126
54935007,9.648633,0.50757074,-1.5610195,-0.005321126,0.007449576,-0.068110414,7.2,53.4,21.6,27.75712,25.573664,92726,741.8625,-4.7884035,0.9576807,3.8307228
54968011,9.629479,0.6607997,-1.5179238,-0.004256901,0.0010642252,-0.058532387,9,49.2,27.75,27.517508,25.573353,92726.21,741.8441,-4.7884035,11.492168,7.6614456
55001014,9.65821,0.6991069,-1.7908629,-0.007449576,-0.005321126,-0.046825908,8.55,52.5,23.55,27.852966,25.572968,92727.484,741.73016,-5.746084,7.6614456,9.576807
55034007,9.619903,0.58418524,-1.661576,-0.014899152,0.006385351,-0.046825908,9.45,50.4,24.9,27.948812,25.572529,92727.836,741.69824,-3.8307228,1.9153614,8.619126
55067011,9.495404,0.5410896,-1.5466543,-0.011706477,0.010642252,-0.040440556,6.9,52.65,22.35,27.517508,25.573078,92728,741.68365,-8.619126,7.6614456,6.703765
55100011,9.730036,0.50278234,-1.6136919,-0.010642252,0.011706477,-0.034055207,7.65,52.2,22.35,27.948812,25.573353,92728.664,741.6248,-6.703765,7.6614456,7.6614456
55133014,9.706094,0.6368576,-1.7046716,-0.013834927,0.023412954,-0.03724788,8.55,51.75,23.55,28.044659,25.574728,92728.125,741.67285,-0.9576807,3.8307228,-4.7884035
