t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
35304359,0.507571,2.398990,10.975020,0.246900,0.396956,0.976959,31.200,3.900,113.100,25.50,22.98,97171.42,351.699,-0.957681,2.873042,15.322891
35338359,1.508347,0.277727,10.462662,0.028734,0.227744,0.885435,33.150,4.200,114.300,25.31,22.98,97171.41,351.700,5.746084,-0.957681,16.280571
35371359,0.675165,1.541866,10.237606,0.244772,0.210717,1.023785,32.850,3.750,114.300,24.98,22.98,97171.63,351.681,3.830723,3.830723,18.195932
35404359,0.411803,1.838747,9.964667,-0.063854,0.047890,0.840738,32.850,3.750,114.750,25.07,22.98,97170.97,351.738,5.746084,3.830723,16.280571
35438359,0.440533,1.479617,10.127473,-0.080881,0.046826,0.697067,33.900,3.750,114.000,25.50,22.98,97171.84,351.662,2.873042,2.873042,12.449849
35471359,0.871489,0.799663,7.967903,-0.057468,-0.236258,0.953546,33.150,4.500,114.000,24.88,22.98,97171.63,351.681,10.534488,-1.915361,16.280571
35504359,0.047884,2.011129,9.088389,0.051083,-0.287341,0.840738,34.650,2.550,114.750,25.31,22.98,97171.38,351.703,0.957681,-0.957681,19.153614
35538359,1.216254,1.163582,9.629479,-0.325653,-0.264992,0.919491,34.500,5.400,114.450,25.07,22.98,97171.96,351.653,7.661446,4.788404,8.619126
35571359,0.919373,0.229843,9.346964,-0.130900,0.035119,0.917362,33.750,3.900,115.200,25.12,22.98,97171.01,351.735,6.703765,-1.915361,16.280571
35604359,0.622492,0.727837,9.595961,0.042569,0.177726,1.041876,33.600,5.700,115.500,25.22,22.98,97170.84,351.749,7.661446,6.703765,10.534488
35652606,0.531513,0.804452,9.619903,0.226680,0.148992,0.973766,35.400,5.250,114.750,25.31,22.98,97171.18,351.720,2.873042,-0.957681,7.661446
35676138,1.010353,0.780510,9.576807,0.307561,0.139413,0.988665,36.150,4.500,116.100,25.46,22.97,97171.21,351.717,3.830723,7.661446,15.322891
35706046,0.957681,1.082179,9.763555,0.241579,0.140478,0.901399,35.700,6.750,114.000,25.22,22.97,97171.18,351.720,10.534488,0.957681,13.407530
